 # psi_normal -- q_safety -- <(Bdl_par)^2> -- <B^2>
 0.0000000000000E+00  0.9330406567244E+00  0.0000000000000E+00  0.0000000000000E+00 
 0.7812500000000E-02  0.9330406567244E+00  0.4013485215118E-03  0.9572320751898E+00 
 0.1562500000000E-01  0.9378475539203E+00  0.7972562370971E-03  0.9399231139881E+00 
 0.2343750000000E-01  0.9423967752183E+00  0.1187921583910E-02  0.9267439267793E+00 
 0.3125000000000E-01  0.9473514086201E+00  0.1572079886629E-02  0.9157356939344E+00 
 0.3906250000000E-01  0.9527443657061E+00  0.1948911711328E-02  0.9061003678375E+00 
 0.4687500000000E-01  0.9584787325549E+00  0.2318317089553E-02  0.8973985056834E+00 
 0.5468750000000E-01  0.9644831676169E+00  0.2680180599216E-02  0.8894412971969E+00 
 0.6250000000000E-01  0.9707342698775E+00  0.3034321023926E-02  0.8820475241991E+00 
 0.7031250000000E-01  0.9771870545450E+00  0.3380885790869E-02  0.8751154430066E+00 
 0.7812500000000E-01  0.9838321062310E+00  0.3719792861993E-02  0.8685624366443E+00 
 0.8593750000000E-01  0.9906601618696E+00  0.4051037956720E-02  0.8623406655858E+00 
 0.9375000000000E-01  0.9976465404270E+00  0.4374778314114E-02  0.8564035647934E+00 
 0.1015625000000E+00  0.1004785366664E+01  0.4691089863715E-02  0.8507050394038E+00 
 0.1093750000000E+00  0.1012075846940E+01  0.4999912635430E-02  0.8452217097988E+00 
 0.1171875000000E+00  0.1019513067909E+01  0.5301332935782E-02  0.8399360672298E+00 
 0.1250000000000E+00  0.1027091897374E+01  0.5595470839082E-02  0.8348127401009E+00 
 0.1328125000000E+00  0.1034810255422E+01  0.5882380180002E-02  0.8298543741685E+00 
 0.1406250000000E+00  0.1042664805634E+01  0.6162133106071E-02  0.8250279669133E+00 
 0.1484375000000E+00  0.1050656451848E+01  0.6434839481796E-02  0.8203348703240E+00 
 0.1562500000000E+00  0.1058781755265E+01  0.6700538367499E-02  0.8157567939001E+00 
 0.1640625000000E+00  0.1067043744762E+01  0.6959368969013E-02  0.8112830537199E+00 
 0.1718750000000E+00  0.1075439607596E+01  0.7211329403972E-02  0.8069161904675E+00 
 0.1796875000000E+00  0.1083972266421E+01  0.7456555562219E-02  0.8026370117189E+00 
 0.1875000000000E+00  0.1092641862924E+01  0.7695109653198E-02  0.7984414461684E+00 
 0.1953125000000E+00  0.1101452038893E+01  0.7927007019785E-02  0.7943320780762E+00 
 0.2031250000000E+00  0.1110400172164E+01  0.8152387907793E-02  0.7902947229710E+00 
 0.2109375000000E+00  0.1119487721064E+01  0.8371370469083E-02  0.7863261439418E+00 
 0.2187500000000E+00  0.1128717785027E+01  0.8584034205684E-02  0.7824235144875E+00 
 0.2265625000000E+00  0.1138093491485E+01  0.8790391228778E-02  0.7785825123198E+00 
 0.2343750000000E+00  0.1147613254196E+01  0.8990566166483E-02  0.7747984270181E+00 
 0.2421875000000E+00  0.1157281579751E+01  0.9184601461153E-02  0.7710685988618E+00 
 0.2500000000000E+00  0.1167099375208E+01  0.9372616412125E-02  0.7673907045115E+00 
 0.2578125000000E+00  0.1177072395994E+01  0.9554602134845E-02  0.7637642164972E+00 
 0.2656250000000E+00  0.1187202612977E+01  0.9730692646711E-02  0.7601824510751E+00 
 0.2734375000000E+00  0.1197487497487E+01  0.9901018603976E-02  0.7566426606582E+00 
 0.2812500000000E+00  0.1207930664469E+01  0.1006563958730E-01  0.7531450689127E+00 
 0.2890625000000E+00  0.1218537341461E+01  0.1022458013007E-01  0.7496879817347E+00 
 0.2968750000000E+00  0.1229315125510E+01  0.1037782735046E-01  0.7462696697228E+00 
 0.3046875000000E+00  0.1240261431085E+01  0.1052562909592E-01  0.7428827856225E+00 
 0.3125000000000E+00  0.1251376983269E+01  0.1066802870906E-01  0.7395321052440E+00 
 0.3203125000000E+00  0.1262668613244E+01  0.1080503728912E-01  0.7362148244765E+00 
 0.3281250000000E+00  0.1274140174300E+01  0.1093670808952E-01  0.7329300931036E+00 
 0.3359375000000E+00  0.1285797122202E+01  0.1106313843031E-01  0.7296729147212E+00 
 0.3437500000000E+00  0.1297638873362E+01  0.1118444248186E-01  0.7264417107385E+00 
 0.3515625000000E+00  0.1309668741282E+01  0.1130068746969E-01  0.7232391516474E+00 
 0.3593750000000E+00  0.1321892274251E+01  0.1141191513563E-01  0.7200644961040E+00 
 0.3671875000000E+00  0.1334318601290E+01  0.1151813190038E-01  0.7169131040736E+00 
 0.3750000000000E+00  0.1346945865568E+01  0.1161950105692E-01  0.7137823713098E+00 
 0.3828125000000E+00  0.1359776132379E+01  0.1171610959127E-01  0.7106770111704E+00 
 0.3906250000000E+00  0.1372818143006E+01  0.1180794757709E-01  0.7075953868769E+00 
 0.3984375000000E+00  0.1386081223032E+01  0.1189503707094E-01  0.7045325492108E+00 
 0.4062500000000E+00  0.1399561156942E+01  0.1197759037117E-01  0.7014871868611E+00 
 0.4140625000000E+00  0.1413264833666E+01  0.1205560998838E-01  0.6984628715131E+00 
 0.4218750000000E+00  0.1427200773027E+01  0.1212910544443E-01  0.6954590659371E+00 
 0.4296875000000E+00  0.1441375821521E+01  0.1219816697930E-01  0.6924700367072E+00 
 0.4375000000000E+00  0.1455789967352E+01  0.1226291404875E-01  0.6894962179291E+00 
 0.4453125000000E+00  0.1470449356887E+01  0.1232338209451E-01  0.6865406616837E+00 
 0.4531250000000E+00  0.1485362835803E+01  0.1237959032704E-01  0.6836032562251E+00 
 0.4609375000000E+00  0.1500538561816E+01  0.1243161854276E-01  0.6806758264060E+00 
